source_file,column,proposed_label
companies/companies.csv,company_id,identifier
companies/companies.csv,name,free_text
companies/companies.csv,description,free_text
companies/companies.csv,company_size,numeric_ordinal_code
companies/companies.csv,state,geographic
companies/companies.csv,country,geographic
companies/companies.csv,city,geographic
companies/companies.csv,zip_code,geographic
companies/companies.csv,address,geographic
companies/companies.csv,url,url
companies/employee_counts.csv,company_id,identifier
companies/employee_counts.csv,employee_count,numeric_continuous
companies/employee_counts.csv,follower_count,numeric_continuous
companies/employee_counts.csv,time_recorded,date
companies/company_industries.csv,company_id,identifier
companies/company_industries.csv,industry,categorical
companies/company_specialities.csv,company_id,identifier
companies/company_specialities.csv,speciality,categorical
postings.csv,job_id,identifier
postings.csv,company_name,free_text
postings.csv,title,free_text
postings.csv,description,free_text
postings.csv,max_salary,numeric_continuous
postings.csv,pay_period,categorical
postings.csv,location,geographic
postings.csv,company_id,identifier
postings.csv,views,numeric_continuous
postings.csv,med_salary,numeric_continuous
postings.csv,min_salary,numeric_continuous
postings.csv,formatted_work_type,categorical
postings.csv,applies,numeric_continuous
postings.csv,original_listed_time,date
postings.csv,remote_allowed,boolean
postings.csv,job_posting_url,url
postings.csv,application_url,url
postings.csv,application_type,categorical
postings.csv,expiry,date
postings.csv,closed_time,date
postings.csv,formatted_experience_level,categorical
postings.csv,skills_desc,free_text
postings.csv,listed_time,date
postings.csv,posting_domain,url
postings.csv,sponsored,boolean
postings.csv,work_type,categorical
postings.csv,currency,categorical
postings.csv,compensation_type,categorical
postings.csv,normalized_salary,numeric_continuous
postings.csv,zip_code,geographic
postings.csv,fips,geographic
jobs/benefits.csv,job_id,identifier
jobs/benefits.csv,inferred,boolean
jobs/benefits.csv,type,categorical
jobs/salaries.csv,salary_id,identifier
jobs/salaries.csv,job_id,identifier
jobs/salaries.csv,max_salary,numeric_continuous
jobs/salaries.csv,med_salary,numeric_continuous
jobs/salaries.csv,min_salary,numeric_continuous
jobs/salaries.csv,pay_period,categorical
jobs/salaries.csv,currency,categorical
jobs/salaries.csv,compensation_type,categorical
mappings/industries.csv,industry_id,identifier
mappings/industries.csv,industry_name,categorical
mappings/skills.csv,skill_abr,identifier
mappings/skills.csv,skill_name,categorical
